Date,Symbol,Series,Open,High,Low,Last,Close,Volume
2012-03-01,ASHOKLEY,EQ,28.25,28.25,27.3,27.75,27.9,3626559
2012-03-02,ASHOKLEY,EQ,27.9,29.2,27.75,28.45,28.65,8880305
2012-03-03,ASHOKLEY,EQ,28.95,29.1,28.6,28.7,28.65,962978
2012-03-05,ASHOKLEY,EQ,28.65,29.15,27.7,27.75,28.1,5803076
2012-03-06,ASHOKLEY,EQ,27.95,28.8,27.3,27.85,27.85,3696030
2012-03-07,ASHOKLEY,EQ,27.7,28.25,27.4,28.0,28.0,3246388
2012-03-09,ASHOKLEY,EQ,28.25,29.3,28.25,29.25,29.2,6257009
2012-03-12,ASHOKLEY,EQ,29.9,29.9,28.5,28.75,28.7,4160072
2012-03-13,ASHOKLEY,EQ,29.1,29.1,28.3,28.55,28.55,2979054
2012-03-14,ASHOKLEY,EQ,28.9,28.9,28.3,28.3,28.45,2389781
2012-03-15,ASHOKLEY,EQ,28.5,28.5,27.15,27.35,27.35,4260852
2012-03-16,ASHOKLEY,EQ,28.0,28.4,27.2,27.45,27.6,3288462
2012-03-19,ASHOKLEY,EQ,27.9,27.9,26.9,27.35,27.3,7199481
2012-03-20,ASHOKLEY,EQ,27.2,27.65,27.0,27.25,27.35,2367223
2012-03-21,ASHOKLEY,EQ,27.5,28.0,27.1,27.9,27.8,2999401
2012-03-22,ASHOKLEY,EQ,28.15,29.6,28.05,28.2,28.35,39112308
2012-03-23,ASHOKLEY,EQ,28.6,29.25,28.05,29.05,29.1,5340925
2012-03-26,ASHOKLEY,EQ,28.0,29.75,27.0,28.95,28.95,7854787
2012-03-27,ASHOKLEY,EQ,28.95,29.65,28.4,29.25,29.1,11516339
2012-03-28,ASHOKLEY,EQ,29.1,29.4,28.75,29.2,29.2,4047659
2012-03-29,ASHOKLEY,EQ,28.8,29.4,28.15,29.2,29.05,10282441
2012-03-30,ASHOKLEY,EQ,29.25,30.5,29.15,30.3,30.35,8442048
2012-04-02,ASHOKLEY,EQ,30.4,31.1,30.35,30.95,30.95,4772961
2012-04-03,ASHOKLEY,EQ,32.5,32.55,31.0,31.9,32.0,10519734
2012-04-04,ASHOKLEY,EQ,32.3,32.3,31.0,31.3,31.25,3621732
2012-04-09,ASHOKLEY,EQ,31.8,31.8,30.1,30.2,30.2,4593097
2012-04-10,ASHOKLEY,EQ,30.9,30.9,29.1,29.35,29.3,11036542
2012-04-11,ASHOKLEY,EQ,29.3,30.0,28.7,29.0,29.0,8193203
2012-04-12,ASHOKLEY,EQ,29.8,30.2,29.2,29.6,29.65,6812163
2012-04-13,ASHOKLEY,EQ,29.95,30.0,29.2,29.35,29.3,4981863
2012-04-16,ASHOKLEY,EQ,29.3,29.6,29.15,29.25,29.25,2159896
2012-04-17,ASHOKLEY,EQ,29.6,29.6,29.05,29.25,29.35,3058858
2012-04-18,ASHOKLEY,EQ,29.35,30.45,29.35,30.25,30.2,8311174
2012-04-19,ASHOKLEY,EQ,30.8,30.95,30.4,30.8,30.65,6602504
2012-04-20,ASHOKLEY,EQ,33.0,33.0,30.2,31.25,31.15,9092197
