Date,Symbol,Series,Open,High,Low,Last,Close,Volume
2012-03-01,TATAMOTORS,EQ,269.9,273.9,265.4,266.05,267.2,10231237
2012-03-02,TATAMOTORS,EQ,269.5,272.0,264.65,267.0,267.65,10962544
2012-03-03,TATAMOTORS,EQ,266.4,268.7,266.0,267.75,267.95,488065
2012-03-05,TATAMOTORS,EQ,267.0,275.6,266.25,274.45,274.15,13724738
2012-03-06,TATAMOTORS,EQ,274.1,279.0,264.0,264.85,267.0,11559507
2012-03-07,TATAMOTORS,EQ,265.0,269.8,262.4,267.1,267.95,8513827
2012-03-09,TATAMOTORS,EQ,272.25,281.95,272.25,280.9,280.65,11975682
2012-03-12,TATAMOTORS,EQ,283.0,286.9,277.05,285.55,284.2,12242332
2012-03-13,TATAMOTORS,EQ,286.15,287.6,282.35,282.8,283.0,9452132
2012-03-14,TATAMOTORS,EQ,286.5,292.0,285.85,290.0,290.0,10028660
2012-03-15,TATAMOTORS,EQ,289.95,294.15,284.7,290.0,290.45,9766291
2012-03-16,TATAMOTORS,EQ,288.5,297.85,282.65,286.55,286.7,16288569
2012-03-19,TATAMOTORS,EQ,287.55,292.5,281.35,282.85,283.45,9352941
2012-03-20,TATAMOTORS,EQ,283.7,285.95,269.65,271.9,271.4,18187838
2012-03-21,TATAMOTORS,EQ,271.85,277.45,264.1,275.2,276.1,23030066
2012-03-22,TATAMOTORS,EQ,274.35,282.4,268.0,270.15,270.1,14518733
2012-03-23,TATAMOTORS,EQ,272.0,275.6,267.65,274.15,272.7,12114513
2012-03-26,TATAMOTORS,EQ,272.7,272.7,266.3,269.05,268.4,10695245
2012-03-27,TATAMOTORS,EQ,272.9,275.5,265.8,274.0,272.8,10955140
2012-03-28,TATAMOTORS,EQ,271.9,272.65,268.5,270.95,271.15,7516739
2012-03-29,TATAMOTORS,EQ,268.85,274.0,267.2,272.5,271.95,9807259
2012-03-30,TATAMOTORS,EQ,275.0,276.6,272.9,274.95,275.25,6343086
2012-04-02,TATAMOTORS,EQ,279.9,280.0,275.7,276.7,276.8,7925946
2012-04-03,TATAMOTORS,EQ,278.5,282.0,275.3,281.5,281.25,8217743
2012-04-04,TATAMOTORS,EQ,280.0,281.8,277.3,279.0,278.55,4783053
2012-04-09,TATAMOTORS,EQ,277.0,278.85,273.7,275.25,275.6,3938410
2012-04-10,TATAMOTORS,EQ,276.1,284.7,275.5,283.6,283.75,8158548
2012-04-11,TATAMOTORS,EQ,281.15,286.45,280.7,283.75,283.05,9845563
2012-04-12,TATAMOTORS,EQ,285.25,287.7,284.0,285.75,286.2,5662436
2012-04-13,TATAMOTORS,EQ,288.0,294.6,287.0,289.0,289.3,7715327
2012-04-16,TATAMOTORS,EQ,289.75,301.9,286.85,301.55,300.7,12236366
2012-04-17,TATAMOTORS,EQ,304.0,304.95,296.65,300.65,301.35,13941921
2012-04-18,TATAMOTORS,EQ,303.5,311.25,303.0,309.35,309.75,16888385
2012-04-19,TATAMOTORS,EQ,311.35,320.3,309.6,319.3,319.25,15579229
2012-04-20,TATAMOTORS,EQ,317.7,320.75,312.5,316.0,316.65,8967838
2012-04-23,TATAMOTORS,EQ,316.5,319.9,308.65,309.0,309.75,7833302
2012-04-24,TATAMOTORS,EQ,309.5,314.25,309.05,312.15,311.85,6156943
2012-04-25,TATAMOTORS,EQ,312.85,315.45,309.25,313.85,313.95,8616061
2012-04-26,TATAMOTORS,EQ,315.9,315.9,310.35,311.8,312.1,6768605
2012-04-27,TATAMOTORS,EQ,312.8,313.7,307.7,313.35,312.65,5604087
2012-04-28,TATAMOTORS,EQ,313.0,314.2,311.1,314.0,313.1,213905
2012-04-30,TATAMOTORS,EQ,310.0,317.5,309.95,317.0,316.55,4648258
2012-05-02,TATAMOTORS,EQ,312.95,312.95,303.65,305.0,304.5,10171961
2012-05-03,TATAMOTORS,EQ,304.15,305.0,299.4,301.25,300.95,10047793
2012-05-04,TATAMOTORS,EQ,298.5,303.7,295.3,301.6,301.8,11603174
2012-05-07,TATAMOTORS,EQ,297.9,310.0,291.55,309.5,308.4,13072268
2012-05-08,TATAMOTORS,EQ,308.0,309.55,295.0,297.1,296.4,10733073
2012-05-09,TATAMOTORS,EQ,291.95,297.3,289.4,292.65,292.85,11204204
2012-05-10,TATAMOTORS,EQ,294.05,297.15,287.1,289.8,289.2,6651924
2012-05-11,TATAMOTORS,EQ,288.05,301.9,288.05,297.3,297.5,7947629
2012-05-14,TATAMOTORS,EQ,299.0,300.65,285.65,290.2,290.6,7048752
2012-05-15,TATAMOTORS,EQ,288.0,292.5,284.65,290.25,290.35,9120585
2012-05-16,TATAMOTORS,EQ,276.9,277.05,267.75,268.0,269.0,23045441
2012-05-17,TATAMOTORS,EQ,268.6,275.9,263.65,270.5,271.15,13669207
2012-05-18,TATAMOTORS,EQ,265.0,266.7,256.0,260.65,259.9,12592092
2012-05-21,TATAMOTORS,EQ,260.2,264.25,258.1,261.55,261.85,7849273
2012-05-22,TATAMOTORS,EQ,266.9,269.65,263.4,265.9,265.1,8507484
2012-05-23,TATAMOTORS,EQ,262.1,265.45,259.5,261.5,261.45,7773910
2012-05-24,TATAMOTORS,EQ,262.8,268.05,256.9,266.9,267.0,8791666
2012-05-25,TATAMOTORS,EQ,265.75,271.8,262.35,268.8,269.05,5198207
