Date,Symbol,Series,Open,High,Low,Last,Close,Volume
2012-03-01,WIPRO,EQ,433.0,433.0,418.9,425.0,424.85,1028957
2012-03-02,WIPRO,EQ,426.1,443.05,420.35,427.1,429.0,1143610
2012-03-03,WIPRO,EQ,429.9,429.9,425.3,426.5,427.3,25990
2012-03-05,WIPRO,EQ,425.0,434.45,422.0,433.0,431.35,506390
2012-03-06,WIPRO,EQ,427.9,439.0,426.5,431.9,432.1,905588
2012-03-07,WIPRO,EQ,428.8,444.0,428.6,438.65,439.95,2082292
2012-03-09,WIPRO,EQ,443.5,448.05,429.25,430.2,432.2,1581732
2012-03-12,WIPRO,EQ,435.1,440.15,429.5,438.2,437.75,1735445
2012-03-13,WIPRO,EQ,432.1,434.0,427.55,430.5,430.95,1054659
2012-03-14,WIPRO,EQ,431.55,431.95,421.4,426.0,426.05,1198930
2012-03-15,WIPRO,EQ,421.85,431.8,420.55,431.0,427.45,1338520
2012-03-16,WIPRO,EQ,430.1,435.9,426.5,428.45,428.55,707018
2012-03-19,WIPRO,EQ,425.15,429.0,419.95,424.85,428.0,1023560
2012-03-20,WIPRO,EQ,425.25,430.4,425.2,427.6,429.6,1208482
2012-03-21,WIPRO,EQ,428.5,433.95,423.2,427.75,427.6,892390
2012-03-22,WIPRO,EQ,428.8,432.8,419.25,420.55,421.3,1074533
2012-03-23,WIPRO,EQ,420.25,427.6,420.1,426.15,425.25,1699141
2012-03-26,WIPRO,EQ,425.0,429.8,420.95,423.0,423.1,1246974
2012-03-27,WIPRO,EQ,424.05,429.7,416.25,428.0,428.4,1537441
2012-03-28,WIPRO,EQ,427.0,431.0,422.0,429.95,429.85,1566870
2012-03-29,WIPRO,EQ,428.85,439.0,421.55,435.0,436.8,3047497
2012-03-30,WIPRO,EQ,435.3,441.7,431.05,438.9,440.1,1517213
2012-04-02,WIPRO,EQ,437.6,444.0,436.3,442.0,443.15,1242977
2012-04-03,WIPRO,EQ,445.35,448.9,441.15,443.0,446.5,764251
2012-04-04,WIPRO,EQ,443.0,451.7,440.25,444.5,443.8,1050851
2012-04-09,WIPRO,EQ,438.55,444.9,437.2,440.05,439.05,609568
2012-04-10,WIPRO,EQ,439.3,449.3,439.3,445.3,445.4,1333312
2012-04-11,WIPRO,EQ,440.55,448.0,440.1,445.3,445.95,1000041
2012-04-12,WIPRO,EQ,443.3,446.1,437.45,437.75,439.1,356226
2012-04-13,WIPRO,EQ,423.2,437.95,413.1,420.0,419.3,3579190
2012-04-16,WIPRO,EQ,419.0,427.65,413.2,420.95,420.95,2338318
2012-04-17,WIPRO,EQ,420.0,425.0,419.9,422.05,421.2,2027639
2012-04-18,WIPRO,EQ,425.2,429.5,424.65,426.95,427.4,744088
2012-04-19,WIPRO,EQ,428.95,428.95,419.2,420.3,420.65,1601808
2012-04-20,WIPRO,EQ,420.9,427.9,420.7,424.0,424.8,948892
2012-04-23,WIPRO,EQ,421.1,426.45,421.1,422.2,424.15,806899
2012-04-24,WIPRO,EQ,426.9,444.1,426.9,443.0,442.0,1845282
2012-04-25,WIPRO,EQ,423.0,423.0,405.8,411.0,410.4,6026415
2012-04-26,WIPRO,EQ,412.0,412.65,398.5,406.0,402.65,4548883
2012-04-27,WIPRO,EQ,402.0,409.0,402.0,405.85,405.8,916011
2012-04-28,WIPRO,EQ,408.95,408.95,406.0,406.6,406.7,35468
2012-04-30,WIPRO,EQ,405.1,408.8,402.0,406.1,405.05,860489
2012-05-02,WIPRO,EQ,406.2,409.7,402.2,403.8,404.0,1153521
2012-05-03,WIPRO,EQ,403.8,413.65,402.7,412.35,412.35,1778346
2012-05-04,WIPRO,EQ,412.35,419.9,411.25,415.0,414.9,1992165
2012-05-07,WIPRO,EQ,409.9,420.5,407.0,412.3,413.85,1112795
2012-05-08,WIPRO,EQ,409.1,409.15,395.05,404.3,404.0,1816356
2012-05-09,WIPRO,EQ,401.25,409.75,399.35,407.5,406.25,1278682
2012-05-10,WIPRO,EQ,406.5,415.6,406.15,408.3,408.65,981341
2012-05-11,WIPRO,EQ,405.0,411.6,397.15,400.0,400.9,765303
2012-05-14,WIPRO,EQ,398.3,406.15,398.3,402.95,403.5,816823
2012-05-15,WIPRO,EQ,398.35,409.9,398.35,404.4,404.25,962337
2012-05-16,WIPRO,EQ,400.25,407.9,388.55,389.9,390.35,1532646
2012-05-17,WIPRO,EQ,391.05,395.85,385.8,392.8,390.75,1530647
2012-05-18,WIPRO,EQ,382.5,393.05,382.35,392.4,391.25,873939
2012-05-21,WIPRO,EQ,388.05,393.9,380.0,381.0,383.2,1075410
2012-05-22,WIPRO,EQ,384.8,387.6,380.2,382.65,381.45,846505
2012-05-23,WIPRO,EQ,382.5,386.9,378.7,384.9,384.95,662991
2012-05-24,WIPRO,EQ,385.0,393.7,380.1,391.05,392.3,854510
2012-05-25,WIPRO,EQ,392.0,396.0,388.25,395.5,394.1,493706
2012-05-28,WIPRO,EQ,395.0,401.85,394.4,400.9,399.85,623215
2012-05-29,WIPRO,EQ,398.55,411.35,397.0,408.5,409.75,733323
2012-05-30,WIPRO,EQ,405.3,415.0,405.3,411.75,412.15,825033
2012-05-31,WIPRO,EQ,405.6,415.75,404.0,406.0,410.0,1645807
2012-06-01,WIPRO,EQ,404.4,405.1,398.0,403.0,401.5,1182821
2012-06-04,WIPRO,EQ,394.9,402.75,394.1,396.3,396.25,509899
2012-06-05,WIPRO,EQ,396.15,404.4,394.45,399.95,398.6,781184
2012-06-06,WIPRO,EQ,400.2,412.45,400.2,407.8,410.6,1291309
